TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,male_pop,female_pop
4830620,3.7516156462585e-4,0.0061878656462585006,0.00312529761904762,4.5323129251700596e-5,1.0502551020408099e-4,3.4353741496598703e-6,43296.3586030664,2341093,2489527
733375,5.90958083832335e-4,0.0060910179640718595,2.84850299401198e-4,0.00163910179640719,5.450299401197601e-4,1.05868263473054e-4,70354.743902439,384160,349215
6641928,0.00295659210526315,0.005712,3.85098684210527e-4,4.3550657894736797e-4,2.87657894736842e-4,1.67631578947368e-5,54207.8209549072,3299088,3342840
2958208,6.215474452554741e-4,0.00711378102189781,0.00189687591240876,5.22919708029197e-5,1.14233576642336e-4,1.46861313868613e-5,41935.6339677892,1451913,1506295
38421464,0.00372918746879681,0.00402157888167747,5.67739640539191e-4,4.0529206190713705e-5,0.00130522341487768,3.51410384423364e-5,67264.7823026647,19087135,19334329
5278906,0.00207843800322061,0.006989557165861499,3.5463768115942e-4,5.73832528180355e-5,2.66199677938808e-4,1.1964573268921099e-5,64657.8017871649,2648667,2630239
3593222,0.00156048309178744,0.00676770531400966,0.00103480676328503,1.26207729468599e-5,4.0219806763285e-4,1.85990338164251e-6,76146.5605875153,1751607,1841615
926454,8.82476635514019e-4,0.006463271028037379,0.0020743925233644798,2.5981308411214997e-5,3.26869158878505e-4,1.91588785046729e-6,61827.976635514,448413,478041
647484,9.165921787709499e-4,0.00331039106145251,0.00517765363128492,2.00558659217877e-5,3.38324022346369e-4,2.9608938547486004e-6,75466.3636363636,306674,340810
19645772,0.0021338542665388397,0.0059083748801534,0.0015165675934803399,2.10450623202302e-5,2.2831735378715302e-4,5.15100671140939e-6,50690.1949867438,9600009,10045763
10006693,8.4182422074604e-4,0.00542863055697496,0.0032088298415942802,1.87583035258048e-5,3.09764946346449e-4,4.66019417475728e-6,50811.0820512821,4883331,5123362
1406299,9.186708860759491e-4,0.00250322784810127,2.05284810126582e-4,1.4493670886076e-5,0.0036592088607595003,8.75886075949367e-4,73264.4262820513,709871,696428
1616547,0.00115053691275168,0.00831362416107383,5.6677852348993204e-5,1.46812080536913e-4,1.13590604026846e-4,1.27181208053691e-5,48017.3154362416,810464,806083
